產業分類,股票代碼,股票名稱,領域分類,公司特色
金融保險,2845,遠東銀,銀行,"遠東集團,企業金融"
金融保險,2846,聯邦銀,銀行,"信用卡業務,消費金融"
金融保險,2849,安泰銀,銀行,"企業金融,中小企業"
金融保險,2850,新產,銀行,產險業務
金融保險,2851,中再保,保險,再保險業務
金融保險,2852,第一保,保險,產險業務
金融保險,2867,三商壽,保險,壽險業務
金融保險,5820,日盛金,金控,已併入富邦金(2022下櫃)
金融保險,5854,京城銀,銀行,區域型銀行
金融保險,5876,上海銀,銀行,"企業金融,兩岸業務"
金融保險,5880,合庫金,金控,"官股金控,合作金庫"
金融保險,2820,華票,票券,票券金融
金融保險,2816,旺旺保,保險,"旺旺集團,產險業務"
金融保險,2832,台產,保險,產物保險
金融保險,2855,統一證,證券,"統一集團,證券經紀"
金融保險,6005,群益證,證券,"證券經紀,自營"
金融保險,6015,宏遠證,證券,證券經紀
Google TPU概念股,2330,台積電,晶圓代工,關鍵核心皆採用台積電的先進製程
Google TPU概念股,3443,創意,IC設計服務,Google Axion CPU 製程設計服務合作商
Google TPU概念股,2368,金像電,連接器,TPU v7 30~40層高階供應商
Google TPU概念股,2383,台光電,PCB材料,TPU高階CCL材料 M8供應廠
Google TPU概念股,6191,精成科,PCB,精成科併購日商Linestech，間接切入Google
Google TPU概念股,3037,欣興,IC載板,Google伺服器載板
Google TPU概念股,6223,旺矽,設備,TPU v7 供應商
Google TPU概念股,6510,精測,設備,TPU v7 供應商
Google TPU概念股,2454,聯發科,IC設計,與Google 合作開發TPU v7、v8
Google TPU概念股,2356,英業達,組裝,英業達為TPU 6第二大供貨台廠
Google TPU概念股,3081,聯亞,PCB,Google TPU v7平台驗測階段主要供應商
Google TPU概念股,6442,光聖,連接器,TPU 高速傳輸供應商
